vehicle_age,odometer_km,engine_hours,load_factor,avg_speed_kmh,idle_time_pct,tire_pressure_ok,ac_usage,maintenance_score,fuel_efficiency_kml
0.4,9739,160,0.74,76.8,26.6,1,0,91.2,6.67
1.6,25891,622,0.22,31.6,34.9,1,0,69.3,6.71
0.5,12364,371,0.57,74.3,10.8,1,1,76.0,6.01
9.5,281042,5811,0.25,23.2,36.5,0,0,83.9,4.35
4.7,138031,3728,0.35,38.5,26.1,0,0,79.3,7.03
7.6,177827,3577,0.65,37.3,6.1,0,0,83.9,5.7
13.6,311590,8869,0.89,57.6,27.2,1,1,85.7,4.55
3.7,66058,1538,0.91,27.9,38.3,1,1,75.3,3.85
6.2,148784,2651,0.26,72.9,7.8,0,1,61.9,6.16
11.3,198189,6301,0.54,69.7,25.4,1,1,54.6,3.78
3.4,117253,1578,0.67,59.1,37.0,1,1,94.2,7.16
1.2,45214,443,0.32,47.5,5.3,0,0,98.2,10.14
4.3,170599,1875,0.81,76.0,27.1,0,0,61.5,4.38
2.4,88575,769,0.8,69.8,21.6,0,0,46.7,4.77
13.9,418640,9095,0.92,50.0,17.1,1,1,53.4,2.82
12.1,394221,6619,0.21,62.1,27.0,0,1,80.2,3.08
9.5,210260,3298,0.37,54.0,6.8,1,0,50.4,7.12
13.1,402213,5044,0.86,55.3,31.4,0,0,86.8,4.28
12.1,318149,4235,0.74,39.9,5.2,0,1,95.4,4.91
2.8,75702,1697,0.92,47.7,15.7,1,0,97.8,7.19
13.4,454461,4647,0.25,24.7,22.6,0,1,40.6,2.14
8.1,178371,5478,0.68,41.4,18.2,0,0,97.5,7.06
12.1,277973,3758,0.66,61.7,15.8,1,1,84.4,3.8
13.4,512332,5708,0.23,77.2,34.1,1,1,45.0,2.0
4.8,78256,3555,0.61,77.8,37.7,1,1,64.9,4.29
1.7,44804,1088,0.69,53.3,35.6,0,0,82.0,6.5
3.4,129308,1150,0.35,56.4,23.3,1,0,97.4,9.06
6.4,193858,4552,0.42,31.1,35.9,1,1,49.8,4.64
12.3,351667,6706,0.71,61.7,37.2,1,1,47.7,2.0
12.9,274275,9340,0.57,24.2,19.3,1,1,68.3,4.5
0.1,2459,63,0.89,37.1,14.9,1,1,98.1,6.64
7.7,278111,4910,0.47,60.1,8.4,0,0,98.3,6.41
6.3,181451,4989,0.41,38.6,21.8,0,1,53.7,5.33
3.3,92847,1387,0.99,23.0,38.1,0,1,59.2,3.1
1.8,31446,1100,0.93,69.9,24.6,1,1,94.5,5.86
5.1,77993,2685,0.22,38.6,28.4,1,1,84.1,6.11
14.1,552905,4522,0.82,23.8,9.0,1,0,98.3,4.06
4.8,118412,1489,0.29,24.5,10.0,1,1,93.6,7.21
7.8,234081,2798,0.22,35.1,21.3,1,1,52.9,5.65
10.5,179195,6586,0.42,30.7,38.3,1,0,85.6,5.29
5.5,174967,3183,0.42,66.5,17.6,1,0,42.9,5.77
14.6,558495,8407,0.86,39.3,35.7,1,1,89.1,2.0
14.4,424318,4561,0.77,68.3,9.2,1,0,76.1,3.56
3.8,68559,2019,0.99,30.4,26.6,1,1,97.4,3.5
7.5,220353,5686,0.77,49.6,26.0,1,0,97.6,5.99
4.5,154164,2251,0.53,61.3,35.1,1,1,43.0,4.7
4.3,107501,2617,0.76,59.1,5.1,1,0,49.6,7.76
0.6,20470,382,1.0,56.1,11.6,1,0,69.1,7.19
9.1,285432,6327,0.77,75.5,12.7,1,1,92.8,4.76
7.5,282615,4220,0.81,33.7,38.2,0,1,88.9,2.97
0.8,23619,563,0.95,49.6,10.4,1,0,97.9,8.62
4.2,76414,2072,0.29,73.0,6.3,0,0,77.1,8.25
13.6,309841,10141,0.76,24.7,23.7,1,1,55.4,2.99
3.6,72030,1510,0.88,23.4,23.5,1,1,41.5,3.96
2.2,81983,957,0.96,34.0,34.5,1,1,53.4,3.92
7.3,249694,2398,0.37,58.0,38.2,0,1,80.5,6.33
14.8,471781,10317,0.6,35.6,23.8,1,0,95.6,2.77
3.6,81781,1846,0.74,31.4,37.5,1,1,59.3,3.95
10.1,197619,4180,0.4,47.5,30.4,1,1,92.5,6.69
11.4,387412,4751,0.68,56.8,14.3,1,1,63.7,5.73
3.6,95723,2676,0.41,34.9,37.5,1,1,58.5,5.36
10.9,225508,7832,0.47,38.0,28.4,1,1,70.5,3.81
5.5,167795,3182,0.55,56.8,19.5,0,1,66.5,6.61
9.5,151833,5767,0.62,76.7,28.8,1,1,94.8,4.83
9.5,220034,5105,0.56,60.5,19.0,1,1,68.1,4.7
8.0,214690,3985,0.59,67.0,9.0,0,1,56.6,4.5
1.4,25325,1026,0.44,42.0,30.2,1,1,90.6,8.05
12.5,496375,4546,0.33,36.3,33.8,1,1,99.9,3.27
4.8,97328,2450,0.24,47.3,30.5,1,0,78.9,9.08
2.8,51084,1321,0.36,68.4,13.0,1,1,55.0,6.66
0.6,12287,336,0.67,47.4,38.5,1,1,54.3,6.74
8.9,303363,4687,0.83,70.8,5.9,1,1,43.5,3.75
10.2,260567,5686,0.34,79.3,16.6,1,0,44.6,5.24
0.2,7249,92,0.29,24.3,14.1,1,0,94.9,7.67
7.7,119255,4275,0.8,22.7,6.7,1,0,45.8,4.1
3.4,53886,1431,0.44,29.0,19.2,1,0,69.1,6.52
9.7,253027,3795,0.96,43.1,26.8,1,0,81.9,6.11
2.6,92631,869,0.77,27.9,35.9,1,1,91.0,5.63
10.4,384828,7061,0.46,72.2,39.6,1,1,50.3,2.36
5.8,99590,2980,0.43,21.4,33.3,1,1,66.3,5.27
14.1,399877,8618,0.62,38.9,21.4,1,0,55.1,2.76
2.1,78038,1369,0.26,31.1,30.3,1,1,55.3,6.2
5.1,126362,3272,0.29,75.9,34.5,0,1,58.2,5.01
1.7,60832,911,0.34,60.2,21.3,1,0,75.2,7.51
13.9,254416,6851,0.82,74.7,32.5,0,0,41.0,2.0
13.2,505148,6422,0.61,78.3,21.9,0,1,64.5,2.0
3.9,130721,2399,0.21,49.8,18.5,1,1,51.2,7.67
9.9,381471,5419,0.74,34.1,23.4,1,1,98.0,3.4
12.3,391230,8882,0.54,31.6,28.7,0,0,75.0,2.65
8.3,200581,6141,0.61,33.4,30.4,1,1,92.1,4.68
7.9,305512,3061,0.37,62.5,17.5,1,0,51.7,4.57
3.6,79409,1335,0.64,22.4,25.0,1,1,88.6,6.87
1.4,32545,859,0.98,23.1,36.8,1,1,64.9,4.02
13.5,437665,6064,0.26,56.5,39.2,0,0,50.7,3.94
13.5,461008,4177,0.43,58.5,13.0,1,0,85.7,6.14
9.5,363100,7068,0.39,59.9,11.7,1,0,85.7,6.27
5.1,102319,2103,0.4,42.3,28.7,1,0,99.8,8.15
5.2,183073,4005,0.5,68.4,19.5,1,0,86.9,6.24
10.9,364397,7173,0.85,52.0,5.8,1,1,48.7,4.74
13.5,223311,9168,0.93,26.3,17.1,1,1,59.4,3.05
13.3,328407,5332,0.36,67.8,33.2,1,1,67.1,3.61
11.7,258168,4879,0.63,77.2,32.9,1,1,47.6,3.51
9.6,217767,5399,0.71,23.6,22.3,1,1,87.3,5.61
1.3,49946,487,0.62,43.5,21.5,1,1,71.6,7.04
2.4,75326,1098,0.55,49.3,25.3,1,0,96.7,7.46
13.5,444001,6210,0.35,28.8,12.7,1,1,75.4,4.29
9.1,358540,3455,0.59,72.1,23.4,1,0,71.4,3.2
0.1,3370,56,0.52,37.0,5.4,0,0,44.3,7.11
1.5,53343,1057,0.84,67.0,21.6,1,1,49.0,5.07
10.0,257405,3818,0.81,60.3,16.8,1,1,91.0,4.47
0.1,2789,24,0.31,55.9,28.6,0,1,99.4,8.32
2.4,47076,1483,0.27,31.5,27.3,1,1,64.9,6.48
8.2,318475,6486,0.93,33.2,18.3,1,0,88.6,4.49
10.4,212439,4832,0.63,22.8,5.3,1,1,77.7,5.23
9.8,226447,3514,0.89,34.4,13.8,1,0,97.5,4.12
3.4,114057,1969,0.25,40.7,27.2,1,0,54.3,7.75
10.7,265399,8046,0.62,70.0,7.5,1,0,72.7,5.95
3.6,107493,2463,0.63,42.0,8.8,0,1,64.5,7.24
4.9,127464,2984,0.89,65.3,27.6,0,1,72.5,4.0
11.2,375775,5123,0.28,46.4,31.5,0,1,56.1,5.53
9.7,201792,5564,0.39,67.1,16.3,1,1,69.9,4.76
12.7,209692,4403,0.53,78.6,22.1,1,1,77.5,4.63
9.9,221927,6308,0.89,34.4,38.1,1,1,44.9,2.0
8.5,228952,5648,0.95,71.7,38.1,1,1,84.6,3.59
1.4,26979,1100,0.99,57.3,15.8,1,1,82.4,7.58
5.5,131660,2373,0.97,69.0,33.3,0,1,92.8,3.54
4.0,99449,1230,0.2,59.1,25.8,1,1,65.6,7.58
3.7,60149,2096,0.24,45.4,39.1,1,0,43.7,7.48
14.6,431764,9536,0.32,33.7,21.7,1,1,67.7,2.66
5.9,218810,4099,0.48,24.2,32.1,1,1,48.3,4.0
13.4,251471,5310,0.86,52.1,31.9,1,1,78.8,4.47
9.5,283494,4079,0.91,79.4,22.4,0,1,42.8,2.23
11.9,376961,6632,0.35,64.3,32.8,1,1,62.4,3.48
7.5,192133,3508,0.7,39.6,14.1,1,0,45.0,3.63
8.7,281478,6319,0.93,69.6,9.3,1,0,40.2,3.34
7.4,186676,3966,0.57,66.1,19.9,1,1,97.6,5.8
2.9,80877,2049,0.28,36.9,38.0,1,0,99.8,6.23
10.8,164544,6397,0.57,20.9,22.5,0,1,73.3,3.35
4.2,136005,2891,0.5,27.1,27.2,1,1,54.3,5.56
0.4,11502,170,0.66,72.6,26.8,1,0,94.7,6.96
9.7,154526,6930,0.55,70.2,9.6,0,0,95.4,5.09
2.7,64308,1162,0.21,37.7,18.7,0,1,91.3,7.04
14.1,556880,8084,1.0,37.1,29.7,1,1,72.7,2.0
14.3,365141,5824,0.63,67.6,39.0,1,0,44.5,2.0
13.7,378049,7380,0.58,76.3,10.9,1,1,45.3,3.41
5.6,209593,2549,0.96,66.7,19.4,1,1,93.8,4.23
0.2,7635,100,0.32,56.3,8.3,1,0,92.5,10.34
13.9,411502,10910,0.35,34.6,13.5,1,0,66.1,4.79
6.4,224444,2441,0.85,51.5,18.2,1,0,59.7,6.06
14.5,530826,10058,0.41,34.0,23.9,1,1,78.6,3.39
14.5,381914,11449,0.84,68.5,13.1,0,1,88.4,2.18
12.8,343904,3966,0.42,43.2,13.0,1,1,83.9,6.82
4.4,108878,2869,0.23,70.0,32.2,1,1,76.9,5.93
5.8,226251,2463,0.61,42.9,38.7,0,0,53.9,4.6
12.8,414025,4089,0.36,69.4,16.3,1,0,55.8,4.22
4.8,81198,2384,0.81,40.0,29.1,1,0,83.4,5.52
2.5,92985,1952,0.71,46.4,14.0,1,0,88.2,8.27
8.4,225621,2555,0.94,56.9,37.5,1,1,47.0,3.35
14.0,234771,8340,0.83,24.2,28.6,1,1,51.2,2.7
10.4,300089,5750,0.34,76.9,33.1,1,0,80.8,4.5
8.6,217442,6299,0.84,54.4,6.7,1,0,63.3,6.55
1.5,53851,499,0.71,50.5,25.9,1,0,73.8,7.01
9.2,185423,5911,0.74,70.4,23.5,0,1,76.9,4.31
14.9,529604,9505,0.87,71.9,15.3,1,1,86.6,2.68
2.1,60815,1333,0.66,51.3,14.2,1,1,88.3,8.61
7.8,127239,5996,0.57,75.6,25.3,1,0,56.8,4.02
13.2,517161,9364,0.71,23.9,29.7,1,1,72.5,2.0
11.1,309071,3567,0.44,26.8,6.2,1,0,47.4,4.73
10.5,232858,5599,0.35,55.8,24.9,1,1,90.5,7.27
10.5,281715,5258,0.69,41.2,11.0,1,1,90.7,7.19
5.4,196533,2454,0.39,47.9,9.9,1,1,58.0,6.95
4.4,99627,2315,0.26,39.7,26.8,1,1,49.6,5.66
12.1,240586,5974,0.2,44.3,15.9,1,1,44.2,6.22
12.2,221486,6272,0.69,69.4,20.4,1,0,74.5,4.52
13.0,291941,10270,0.49,55.6,17.6,0,0,45.5,5.42
13.7,472618,4717,0.8,79.8,27.7,1,1,80.8,2.0
7.7,205488,5838,0.5,67.2,21.5,1,0,80.7,5.46
7.5,155623,4063,0.59,36.4,38.7,1,0,76.8,3.43
12.0,229366,7327,0.53,35.9,17.3,1,1,92.6,5.19
9.7,227340,6972,0.72,40.2,30.9,1,1,62.7,4.69
10.5,405366,5057,0.48,70.6,14.0,1,1,94.1,4.17
11.9,281420,6150,0.97,21.6,22.8,0,0,42.2,2.31
13.4,530040,6739,0.95,33.8,24.3,0,0,46.8,2.0
5.1,137551,2471,0.88,74.3,16.5,1,1,64.7,5.33
5.6,109740,4297,0.94,58.4,21.5,1,1,75.6,5.58
1.4,52553,1007,0.56,33.6,14.8,1,1,41.9,7.04
8.7,229943,3075,0.63,33.1,5.2,1,1,74.0,5.68
0.5,17652,191,0.79,71.8,12.5,1,1,58.4,6.67
7.0,276515,3589,0.76,73.6,29.5,1,0,93.2,4.01
8.1,132305,2843,0.91,35.4,32.0,1,0,72.0,4.74
4.3,74862,2620,0.77,45.2,14.8,1,0,75.3,6.76
8.9,292564,3295,1.0,70.1,19.3,1,1,96.7,3.76
0.5,10086,257,0.48,66.3,6.3,1,0,85.9,8.66
0.6,10985,170,0.87,68.8,13.3,1,1,66.3,6.23
12.3,197227,5655,0.76,51.1,32.3,0,1,68.6,3.5
5.4,83994,3450,0.75,74.7,26.2,1,0,78.9,5.79
1.9,65491,1033,0.46,39.6,12.2,1,1,52.0,6.57
7.8,143832,6182,0.83,29.4,14.0,1,1,45.3,3.92
11.5,308302,8513,0.92,62.5,33.6,1,1,58.7,2.0
3.2,97597,1552,0.37,52.4,12.3,1,1,86.7,8.72
9.3,240206,3016,0.7,71.3,16.7,1,0,55.4,4.22
1.3,20071,925,0.51,24.9,28.3,1,0,47.8,5.99
0.8,26813,586,0.99,70.6,24.6,1,0,53.1,4.26
8.0,121650,5661,0.58,37.6,21.1,0,1,80.7,4.53
8.1,276107,2952,0.38,59.3,36.5,1,1,76.8,6.05
9.6,356954,7639,0.51,22.4,12.7,1,1,81.3,5.76
10.9,281226,4676,0.72,56.6,30.9,1,0,59.3,4.65
14.6,415546,9692,0.26,63.0,10.6,1,1,94.1,5.58
7.7,208518,5839,0.68,42.1,26.6,1,1,67.1,6.01
4.8,119802,2024,0.94,32.9,35.5,1,1,70.8,3.91
11.9,443542,8995,0.88,52.3,21.0,1,0,96.9,4.46
4.1,151727,1847,0.25,70.0,30.4,1,1,98.8,5.87
6.6,154049,5190,0.99,39.4,33.7,1,0,79.7,4.18
1.2,35749,519,0.76,35.1,9.8,1,0,96.7,6.9
0.4,14516,295,0.33,36.7,29.7,0,0,72.5,6.23
14.4,563892,4719,0.21,76.9,37.2,1,0,58.4,2.74
12.5,347650,8209,0.34,41.6,25.2,0,1,58.9,4.77
10.4,274777,5909,0.87,20.2,11.5,1,0,73.5,4.68
6.1,134754,3306,0.22,66.9,9.4,1,1,76.3,6.53
2.6,101304,1070,0.39,62.0,14.1,1,0,66.4,7.26
2.3,43576,1532,0.81,27.7,8.6,1,0,93.0,7.05
3.8,110716,1484,0.67,79.1,23.0,1,0,65.6,4.66
8.2,181770,4749,0.83,56.5,7.4,1,0,56.4,6.46
10.7,235551,4573,0.8,50.0,12.8,1,0,40.5,3.93
9.9,248804,7703,0.24,42.9,20.4,1,1,98.2,6.76
4.2,167834,1320,0.91,73.9,21.6,0,1,89.5,4.72
14.3,234527,5727,0.38,34.6,24.8,1,0,76.9,4.39
11.1,326116,4662,0.64,37.1,29.7,1,0,89.8,3.08
8.3,141895,4216,0.72,27.3,6.7,1,0,88.6,5.32
9.2,173084,3820,0.33,65.5,7.8,1,1,95.9,5.09
6.3,163575,3434,0.98,55.7,7.1,0,1,63.2,5.05
3.7,103161,2736,0.59,56.5,19.8,1,1,73.3,7.52
5.3,114640,3503,0.25,33.1,6.5,1,0,45.9,6.46
11.4,260450,6707,0.95,59.1,31.1,1,0,97.9,5.03
0.2,3708,74,0.67,65.9,12.8,1,0,99.1,7.53
1.7,39315,1126,0.76,41.5,37.9,1,1,87.3,6.69
0.7,27025,264,0.62,68.1,22.0,1,0,67.2,6.92
0.6,23593,423,0.87,40.9,20.6,1,1,69.8,7.03
12.8,299907,5454,0.23,65.5,32.3,0,1,66.1,3.97
10.6,308955,5367,0.41,22.0,30.0,1,1,57.6,2.47
7.1,268429,3380,0.58,53.1,26.3,1,0,71.7,6.76
1.5,22240,1070,0.26,78.2,37.7,1,1,43.2,4.99
7.4,260068,2679,0.76,78.9,19.8,1,0,99.5,4.57
7.1,274916,4139,0.51,36.9,33.3,1,1,65.4,3.71
2.6,44902,964,0.42,46.5,18.3,1,0,95.6,9.37
6.5,123883,4246,0.2,23.8,34.3,1,0,83.5,5.55
6.0,233237,4498,0.78,72.4,14.1,1,0,57.4,4.48
9.2,262708,4779,0.87,54.1,15.1,1,1,53.3,4.59
9.5,146277,5183,0.52,43.1,28.7,1,0,99.7,6.93
0.7,14570,519,0.65,26.8,12.4,1,1,86.3,7.3
5.6,147496,3150,0.38,76.8,13.0,1,0,55.0,6.96
9.4,303442,5105,0.7,51.8,15.7,1,0,44.0,6.63
7.5,251535,4446,0.21,37.0,28.8,1,1,81.8,5.71
12.8,512423,8282,0.59,41.0,36.1,1,0,58.2,4.0
9.9,219224,3492,0.72,36.2,28.6,1,1,53.3,2.7
2.4,69546,1737,0.93,56.1,34.0,1,1,84.1,7.13
1.1,29991,548,0.51,75.8,24.0,1,1,80.8,6.61
9.6,242267,3239,0.81,71.4,7.4,1,0,68.9,4.56
0.4,7647,276,0.68,47.6,8.5,1,1,96.6,9.02
8.8,346513,4292,0.94,69.6,24.4,0,1,80.8,2.57
14.1,512420,4939,0.52,45.4,16.5,1,1,93.6,4.03
8.6,237023,5325,0.46,35.1,12.7,1,0,51.4,5.43
5.8,175149,4309,0.91,79.0,21.3,1,1,57.8,4.69
9.6,199563,7178,0.24,38.2,28.3,0,1,46.3,4.34
6.9,196554,5354,0.31,39.4,18.5,0,1,58.3,5.04
8.2,264959,6006,0.27,79.4,33.1,0,1,98.3,4.83
14.1,393709,4252,0.87,28.0,30.8,1,1,97.8,2.61
5.8,230255,2839,0.21,65.6,30.7,0,0,85.6,5.67
14.4,436624,10226,0.89,76.1,39.5,0,0,71.3,2.0
13.6,329652,6561,0.56,50.7,15.3,1,0,86.8,5.95
2.9,100746,1764,0.2,20.2,27.6,1,0,73.2,7.51
1.0,20040,628,0.52,42.5,34.9,1,1,40.2,6.87
1.5,37207,729,0.35,26.7,25.3,1,1,70.1,6.58
0.3,6471,206,0.7,45.0,32.6,1,1,75.9,7.51
1.4,36543,781,0.74,67.4,19.5,1,1,55.9,5.89
10.2,353912,5454,0.59,46.3,25.7,1,0,52.2,5.56
1.1,28943,853,0.23,45.9,6.9,1,0,56.4,8.97
4.8,166746,2616,0.72,53.4,39.5,1,1,77.4,5.4
12.7,372745,4932,0.87,54.9,33.0,1,1,48.8,2.82
0.3,8221,194,0.78,71.4,35.4,1,1,83.2,5.86
12.2,430644,8638,0.86,38.5,29.3,1,1,65.4,2.52
4.2,88603,2911,0.36,69.3,11.5,0,0,61.2,5.71
1.8,36530,1231,0.91,54.0,6.1,0,1,88.4,7.71
10.5,288581,6835,0.46,38.0,35.3,0,1,70.4,3.95
9.4,203034,4029,0.21,37.7,18.9,1,0,62.7,5.54
13.2,200421,9622,0.87,41.7,14.2,1,0,92.7,5.94
11.0,344095,8233,0.95,57.4,24.7,1,1,62.1,4.4
12.1,334779,4786,0.72,33.8,19.7,1,1,91.5,3.16
4.2,110577,1545,0.39,75.2,27.8,1,0,70.3,6.06
2.7,104266,2097,0.4,54.5,21.9,1,1,52.5,7.97
11.3,329670,8266,0.57,75.2,29.4,1,1,76.8,3.26
12.1,442780,9036,0.92,22.8,34.9,1,1,57.1,2.0
14.9,274661,11042,0.32,40.6,11.8,1,1,48.8,5.65
6.2,180913,3533,0.86,21.4,16.5,1,1,45.2,3.72
5.6,204793,3478,0.43,36.3,20.3,1,1,54.5,5.09
11.6,344467,6670,0.85,71.7,38.7,1,0,84.2,2.49
5.1,168444,1665,0.94,22.2,17.8,1,1,90.3,4.46
14.0,339276,9393,0.54,46.2,18.3,1,0,91.7,5.72
12.9,222903,7116,0.49,27.1,27.9,1,0,56.2,3.83
6.4,170187,4014,0.84,45.0,19.7,1,1,79.7,6.05
11.3,280022,6210,0.62,70.3,38.3,1,1,53.8,2.54
11.3,415110,6179,0.75,57.4,36.3,1,1,77.4,4.13
1.5,32639,597,0.7,64.2,23.0,1,0,93.2,6.81
13.5,530273,5948,0.32,40.9,27.6,1,1,42.5,3.57
7.6,295220,2876,0.88,76.7,7.0,0,0,99.1,4.79
12.4,262699,4932,0.36,62.6,29.4,0,0,89.6,3.3
4.8,113784,3776,0.95,45.3,29.8,1,1,85.7,5.82
13.4,502239,5058,0.4,45.6,17.6,0,0,81.5,5.3
5.8,228649,2537,0.79,75.1,12.7,1,1,86.2,5.45
0.2,4241,97,0.43,54.6,37.0,1,1,99.7,8.21
